"","color","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"3997","white",6.5,0.19,0.27,4.9,0.037,13,101,0.9916,3.17,0.41,11.8,6
"2708","white",6.1,0.29,0.27,1.7,0.024,13,76,0.9893,3.21,0.51,12.6,7
"42","red",8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4
"5549","white",6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3,5
"4665","white",7,0.15,0.38,15.3,0.045,54,120,0.9975,3.18,0.42,9.8,6
"3810","white",7.4,0.24,0.26,1.6,0.058,53,150,0.9936,3.18,0.5,9.9,7
"858","red",8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,7
"4491","white",6.9,0.2,0.3,4.7,0.041,40,148,0.9932,3.16,0.35,10.2,6
"5128","white",6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1,4
"4651","white",7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5
"4867","white",5.8,0.23,0.2,2,0.043,39,154,0.99226,3.21,0.39,10.2,6
"5198","white",5.8,0.2,0.24,1.4,0.033,65,169,0.99043,3.59,0.56,12.3,7
"766","red",9.2,0.67,0.1,3,0.091,12,48,0.99888,3.31,0.54,9.5,6
"4270","white",5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,7
"1387","red",7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5
"1192","red",6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5
"2065","white",6.3,0.21,0.58,10,0.081,34,126,0.9962,2.95,0.46,8.9,5
"1009","red",8.9,0.35,0.4,3.6,0.11,12,24,0.99549,3.23,0.7,12,7
"848","red",7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,6
"5781","white",6.6,0.25,0.32,5.6,0.039,15,68,0.99163,2.96,0.52,11.1,6
"4237","white",8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,5
"3226","white",9,0.22,0.49,10.4,0.048,52,195,0.9987,3.31,0.44,10.2,6
"2940","white",7.2,0.16,0.32,0.8,0.04,50,121,0.9922,3.27,0.33,10,6
"659","red",7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,6
"5520","white",7.4,0.25,0.37,2.6,0.05,24,132,0.99138,3.04,0.53,11.2,6
"1783","white",6.9,0.27,0.4,14,0.05,64,227,0.9979,3.18,0.58,9.6,6
"5877","white",7.2,0.22,0.35,5.5,0.054,37,183,0.99474,3.08,0.5,10.3,5
"3675","white",7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,5
"3697","white",6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,5
"4862","white",7.6,0.19,0.32,18.75,0.047,32,193,1.00014,3.1,0.5,9.3,7
"5114","white",7.7,0.38,0.23,10.8,0.03,28,95,0.99164,2.93,0.41,13.6,6
"2358","white",7.1,0.14,0.4,1.2,0.051,55,136,0.9932,3.3,0.96,9.8,7
"3685","white",7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
"1337","red",6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5
"25","red",6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6
"4859","white",7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
"5745","white",6.8,0.26,0.29,11.9,0.052,54,160,0.99546,3.03,0.58,10.4,6
"5042","white",5.9,0.27,0.27,5,0.035,14,97,0.99058,3.1,0.33,11.8,7
"1779","white",6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,6
"5889","white",6.6,0.26,0.27,11.8,0.048,28,112,0.99606,2.87,0.49,9.7,6
"3805","white",7.7,0.39,0.34,10,0.056,35,178,0.9974,3.26,0.6,10.2,5
"502","red",10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7
"3239","white",7.9,0.22,0.49,3.8,0.042,26,105,0.993,3.1,0.39,10.5,5
"4627","white",7.4,0.32,0.22,11.7,0.035,44,150,0.99578,3.1,0.45,10.4,5
"5268","white",6.5,0.27,0.26,11,0.03,2,82,0.99402,3.07,0.36,11.2,5
"4135","white",9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,6
"5737","white",7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,5
"209","red",7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5
"5711","white",5.5,0.21,0.25,1.2,0.04,18,75,0.99006,3.31,0.56,11.3,6
"1123","red",6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,6
"2896","white",7.5,0.38,0.33,5,0.045,30,131,0.9942,3.32,0.44,10.9,6
"5697","white",6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10,6
"3204","white",6.7,0.41,0.01,2.8,0.048,39,137,0.9942,3.24,0.35,9.5,5
"5283","white",6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,6
"85","red",6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6
"5454","white",5.9,0.12,0.27,4.8,0.03,40,110,0.99226,3.55,0.68,12.1,6
"4955","white",5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,6
"3906","white",5.6,0.295,0.2,2.2,0.049,18,134,0.99378,3.21,0.68,10,5
"4678","white",7.1,0.28,0.35,3.5,0.028,35,91,0.99022,2.96,0.33,12.1,5
"4311","white",5.6,0.2,0.22,1.3,0.049,25,155,0.99296,3.74,0.43,10,5
"2370","white",6.8,0.12,0.31,5.2,0.045,29,120,0.9942,3.41,0.46,9.8,7
"4872","white",7.5,0.22,0.32,2.4,0.045,29,100,0.99135,3.08,0.6,11.3,7
"3526","white",6.3,0.22,0.57,1.4,0.208,14,96,0.9932,3.16,0.43,10,6
"3903","white",6.9,0.44,0.18,11.8,0.051,26,126,0.9975,3.23,0.48,9.1,5
"4115","white",7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7
"4164","white",6.6,0.41,0.16,1.4,0.037,28,160,0.99167,2.95,0.45,10.6,6
"1143","red",6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,6
"3754","white",9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,4
"2925","white",7.7,0.32,0.48,2.3,0.04,28,114,0.9911,3.2,0.52,12.8,7
"158","red",7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
"2064","white",7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5
"6350","white",6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,5
"2236","white",6.2,0.17,0.28,4.7,0.037,39,133,0.9931,3.41,0.46,10.8,7
"3562","white",8.2,0.21,0.48,1.4,0.041,11,99,0.9958,3.17,0.57,9.9,5
"2186","white",7.4,0.26,0.3,7.9,0.049,38,157,0.9963,3.13,0.48,8.9,6
"4838","white",7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8,5
"1621","white",6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,7
"3687","white",8.3,0.17,0.31,1.5,0.049,48,153,0.9942,3.12,0.58,9.4,6
"3486","white",7,0.53,0.02,1,0.036,39,107,0.993,3.2,0.32,9,5
"1384","red",8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,5
"4043","white",6.6,0.32,0.33,2.5,0.052,40,219.5,0.99316,3.15,0.6,10,5
"2011","white",7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,0.79,9.6,6
"3119","white",8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5
"4078","white",6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6
"2092","white",7.8,0.19,0.26,8.9,0.039,42,182,0.996,3.18,0.46,9.9,6
"6255","white",6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.9666666666667,7
"846","red",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5
"5476","white",6.1,0.22,0.28,16.55,0.059,54,135,0.99665,3.2,0.38,10.5,5
"3111","white",8.8,0.23,0.74,3.2,0.042,15,126,0.9934,3.02,0.51,11.2,6
"5233","white",6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6
"106","red",8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5
"6058","white",6.6,0.35,0.26,2.7,0.045,19,129,0.98952,3.24,0.48,13,7
"5117","white",6.6,0.29,0.29,1.8,0.036,38,102,0.98819,3.08,0.42,13.7,7
"5693","white",6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9,6
"5173","white",7.8,0.31,0.4,1.6,0.027,20,87,0.9911,3.15,0.48,11.9,6
"5162","white",7.6,0.37,0.34,3.2,0.028,42,162,0.9903,3.01,0.33,12.4,6
"3722","white",6.9,0.26,0.33,12.6,0.051,59,173,0.998,3.39,0.38,9.9,5
"1082","red",7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,7
"3045","white",8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,6
"343","red",10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6
"1886","white",6.5,0.28,0.33,15.7,0.053,51,190,0.9978,3.22,0.51,9.7,6
"2408","white",6,0.39,0.17,12,0.046,65,246,0.9976,3.15,0.38,9,6
"4243","white",8.1,0.33,0.22,5.2,0.047,24,151,0.99527,3.22,0.47,10.3,5
"5222","white",7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,6
"6237","white",6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.7333333333333,6
"1571","red",6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4,6
"3963","white",6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,5
"735","red",7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,5
"3913","white",6.8,0.32,0.3,3.3,0.029,15,80,0.99061,3.33,0.63,12.6,7
"774","red",7.9,0.4,0.29,1.8,0.157,1,44,0.9973,3.3,0.92,9.5,6
"26","red",6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5
"4754","white",7.2,0.4,0.38,2.2,0.03,40,109,0.99075,3.27,0.46,12.6,6
"5065","white",6.8,0.19,0.34,1.9,0.04,41,108,0.99,3.25,0.45,12.9,6
"5554","white",6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,5
"3762","white",9.9,0.49,0.23,2.4,0.087,19,115,0.9948,2.77,0.44,9.4,6
"523","red",8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,5
"2858","white",6.9,0.29,0.16,6.8,0.034,65,212,0.9955,3.08,0.39,9,6
"2481","white",8.8,0.36,0.44,1.9,0.04,9,121,0.9953,3.19,0.48,9.9,6
"1526","red",6.7,0.48,0.08,2.1,0.064,18,34,0.99552,3.33,0.64,9.7,5
"2862","white",7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4,6
"1035","red",8.9,0.745,0.18,2.5,0.077,15,48,0.99739,3.2,0.47,9.7,6
"2777","white",6.8,0.25,0.29,2,0.042,19,189,0.9952,3.46,0.54,10.2,6
"4520","white",7.4,0.28,0.4,11.9,0.032,13,92,0.99629,3.01,0.46,10.8,4
"3915","white",7.7,0.42,0.38,8.1,0.061,49,144,0.9966,3.4,0.58,11,6
"2878","white",7,0.24,0.36,4.9,0.083,10,133,0.9942,3.33,0.37,10.8,6
"1153","red",8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5
"3976","white",7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6
"5664","white",5.5,0.28,0.21,1.6,0.032,23,85,0.99027,3.42,0.42,12.5,5
"4968","white",6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,6
"4484","white",7,0.28,0.32,7.75,0.032,30,114,0.99158,3.12,0.64,12.8,7
"5802","white",6.7,0.24,0.31,2.3,0.044,37,113,0.99013,3.29,0.46,12.9,6
"2984","white",6.8,0.23,0.4,1.6,0.047,5,133,0.993,3.23,0.7,11.4,6
"1115","red",5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,6
"3339","white",8.4,0.29,0.29,1.05,0.032,4,55,0.9908,2.91,0.32,11.4,4
"1539","red",6.2,0.64,0.09,2.5,0.081,15,26,0.99538,3.57,0.63,12,5
"4169","white",6.6,0.24,0.24,8.6,0.034,25,135,0.99582,3.33,0.59,10.3,6
"5041","white",7.1,0.25,0.28,1.2,0.04,31,111,0.99174,3.18,0.53,11.1,5
"1422","red",7.5,0.4,0.18,1.6,0.079,24,58,0.9965,3.34,0.58,9.4,5
"5686","white",7,0.2,0.4,1.1,0.058,30,93,0.99322,3.03,0.38,9.2,6
"3954","white",6.5,0.21,0.28,1.4,0.046,26,66,0.99199,3.43,0.48,11.1,6
"2759","white",7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
"5588","white",6.1,0.2,0.17,1.6,0.048,46,129,0.991,3.3,0.43,11.4,6
"5776","white",6.8,0.24,0.33,3.2,0.049,68,161,0.99324,3.1,0.69,10.2,6
"3659","white",5.7,0.46,0.46,1.4,0.04,31,169,0.9932,3.13,0.47,8.8,5
"5748","white",6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,6
"5828","white",6.2,0.29,0.23,12.4,0.048,33,201,0.99612,3.11,0.56,9.9,6
"3276","white",7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,7
"5271","white",6.8,0.3,0.29,6.2,0.025,29,95,0.99071,3.03,0.32,12.9,7
"216","red",7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5
"2383","white",8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8
"4058","white",7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6
"4989","white",6.6,0.24,0.3,11.3,0.026,11,77,0.99381,3.13,0.55,12.8,7
"5475","white",7.4,0.22,0.27,1.6,0.057,45,98,0.99299,3.29,0.44,9.9,7
"5992","white",6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2,5
"5806","white",5.9,0.32,0.2,14.4,0.05,29,144,0.99666,3.24,0.41,10.3,6
"1032","red",7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,7
"3058","white",7.1,0.22,0.74,2.7,0.044,42,144,0.991,3.31,0.41,12.2,6
"2218","white",7.7,0.24,0.27,1.8,0.051,52,190,0.9928,3.23,0.5,10.8,6
"1233","red",7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5
"3292","white",7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6
"6478","white",6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5,4
"6278","white",6.6,0.285,0.49,11.4,0.035,57,137,0.99732,3.08,0.54,8.9,6
"2377","white",7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5
"2921","white",7.3,0.43,0.37,4.6,0.028,17,114,0.991,3.23,0.43,13.2,6
"231","red",5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7
"1614","white",8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5
"2518","white",7,0.24,0.34,1.4,0.031,27,107,0.99,3.06,0.39,11.9,6
"5303","white",7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6
"6296","white",6.1,0.15,0.4,1.2,0.03,19,84,0.98926,3.19,0.96,13,6
"2650","white",7.3,0.24,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9,5
"3978","white",9.4,0.23,0.56,16.45,0.063,52.5,282,1.00098,3.1,0.51,9.3,5
"1459","red",8.4,0.29,0.4,1.7,0.067,8,20,0.99603,3.39,0.6,10.5,5
"2436","white",7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8
"4753","white",5.8,0.29,0.33,3.7,0.029,30,88,0.98994,3.25,0.42,12.3,6
"5667","white",6.9,0.38,0.28,8.3,0.062,22,166,0.99506,3.16,0.72,10.6,5
"4796","white",6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,7
"4208","white",7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,6
"2680","white",6.8,0.15,0.33,4.7,0.059,31,118,0.9956,3.43,0.39,9,7
"3213","white",8,0.14,0.49,1.5,0.035,42,120,0.9928,3.26,0.4,10.6,7
"2489","white",6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7
"3709","white",7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5,6
"650","red",6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3,6
"4227","white",7.8,0.17,0.23,1.7,0.029,39,128,0.99272,3.37,0.41,10.7,7
"3512","white",7.9,0.3,0.27,8.5,0.036,20,112,0.9939,2.96,0.46,11.7,6
"4822","white",6.6,0.16,0.34,1.1,0.037,41,115,0.9899,3.01,0.68,12,6
"146","red",8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5
"5922","white",7.4,0.16,0.33,1.2,0.042,47,121,0.99198,3.04,0.68,10.5,7
"1014","red",7.5,0.71,0,1.6,0.092,22,31,0.99635,3.38,0.58,10,6
"3550","white",8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5
"101","red",8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6
"1904","white",7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6
"6107","white",5.1,0.305,0.13,1.75,0.036,17,73,0.99,3.4,0.51,12.3333333333333,5
"5599","white",6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6
"1178","red",7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,7
"65","red",7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
"4281","white",7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6
"6044","white",5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,6
"752","red",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
"6210","white",5.9,0.44,0.36,2.5,0.03,12,73,0.99201,3.22,0.48,10.8,6
"5583","white",5.6,0.23,0.25,8,0.043,31,101,0.99429,3.19,0.42,10.4,6
"1811","white",6.8,0.18,0.38,1.4,0.038,35,111,0.9918,3.32,0.59,11.2,7
"5551","white",6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,5
"1493","red",6.2,0.65,0.06,1.6,0.05,6,18,0.99348,3.57,0.54,11.95,5
"4432","white",6.6,0.17,0.3,1.1,0.031,13,73,0.99095,3.17,0.58,11,6
"2827","white",6.9,0.18,0.38,6.5,0.039,20,110,0.9943,3.1,0.42,10.5,5
"5844","white",7.6,0.36,0.48,13.5,0.038,44,116,0.9982,3.04,0.48,9.2,5
"3820","white",7,0.22,0.32,1.6,0.045,40,120,0.9914,2.98,0.44,10.5,6
"1135","red",8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,7
"564","red",7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,6
"5966","white",5.9,0.29,0.28,3.2,0.035,16,117,0.98959,3.26,0.42,12.6,6
"4945","white",6.8,0.18,0.24,9.8,0.058,64,188,0.9952,3.13,0.51,10.6,6
"765","red",9.1,0.68,0.11,2.8,0.093,11,44,0.99888,3.31,0.55,9.5,6
"5379","white",6.5,0.32,0.45,7.7,0.022,31,97,0.99134,3.2,0.7,12.7,7
"3079","white",7.7,0.16,0.49,2,0.056,20,124,0.9948,3.32,0.49,10.7,6
"6170","white",5.8,0.29,0.15,1.1,0.029,12,83,0.9898,3.3,0.4,11.4,6
"641","red",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5
"6370","white",6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6
"357","red",11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,5
"525","red",9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,5
"6425","white",6,0.34,0.29,6.1,0.046,29,134,0.99462,3.48,0.57,10.7,6
"3534","white",6.8,0.28,0.36,1.6,0.04,25,87,0.9924,3.23,0.66,10.3,6
"4642","white",6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,6
"5754","white",6.2,0.32,0.5,6.5,0.048,61,186,0.9948,3.19,0.45,9.6,5
"794","red",7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,5
"1653","white",6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,6
"1815","white",5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5
"4767","white",5.6,0.28,0.4,6.1,0.034,36,118,0.99144,3.21,0.43,12.1,7
"600","red",12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,6
"3139","white",7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6
"4308","white",6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,6
"6234","white",5.8,0.29,0.38,10.7,0.038,49,136,0.99366,3.11,0.59,11.2,6
"1325","red",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6
"6463","white",6.2,0.36,0.32,4,0.036,44,92,0.98936,3.2,0.5,13.3,7
"4345","white",6.7,0.44,0.22,4.3,0.032,19,99,0.99015,3.26,0.53,12.8,7
"5696","white",8,0.25,0.35,1.1,0.054,13,136,0.99366,3.08,0.55,9.5,5
"3394","white",6.6,0.37,0.24,2,0.064,23,120,0.9946,3.32,0.54,9.4,5
"767","red",8.8,0.59,0.18,2.9,0.089,12,74,0.99738,3.14,0.54,9.4,5
"3227","white",8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5
"6246","white",5.9,0.18,0.28,1,0.037,24,88,0.99094,3.29,0.55,10.65,7
"2848","white",7.2,0.18,0.31,1.1,0.045,20,73,0.9925,3.32,0.4,10.8,7
"2131","white",6.4,0.18,0.48,4,0.186,64,150,0.9945,3.06,0.4,9.3,5
"2317","white",7,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1,5
"352","red",9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,6
"3438","white",6.5,0.34,0.36,11,0.052,53,247,0.9984,3.44,0.55,9.3,6
"3178","white",6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5
"3815","white",8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6
"1803","white",6.8,0.26,0.34,13.9,0.034,39,134,0.9949,3.33,0.53,12,6
"386","red",7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,6
"3134","white",7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9,6
"1020","red",7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,5
"5731","white",7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,5
"724","red",7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,5
"5310","white",4.7,0.67,0.09,1,0.02,5,9,0.98722,3.3,0.34,13.6,5
"2447","white",9.2,0.34,0.27,1.2,0.026,17,73,0.9921,3.08,0.39,10.8,5
"5651","white",6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,6
"1602","white",8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6
"658","red",12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,7
"2258","white",6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,5
"3611","white",7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5
"6454","white",6.2,0.35,0.29,3.9,0.041,22,79,0.99005,3.1,0.59,12.0666666666667,6
"3235","white",7.5,0.14,0.74,1.6,0.035,21,126,0.9933,3.26,0.45,10.2,6
"1566","red",6.7,0.67,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9,6
"4079","white",6.6,0.24,0.3,13,0.052,18,143,0.99825,3.37,0.49,9.4,6
"4962","white",7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,6
"2658","white",7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6
"3361","white",8,0.3,0.28,5.7,0.044,31,124,0.9948,3.16,0.51,10.2,6
"211","red",9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6
"3332","white",6.6,0.545,0.04,2.5,0.031,48,111,0.9906,3.14,0.32,11.9,5
"1244","red",8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5
"14","red",7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5
"2799","white",7.4,0.25,0.37,6.9,0.02,14,93,0.9939,3,0.48,10.7,7
"124","red",8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5
"4997","white",6.3,0.19,0.29,5.5,0.042,44,189,0.99304,3.19,0.47,10.3,6
"2618","white",7.1,0.18,0.42,1.4,0.045,47,157,0.9916,2.95,0.31,10.5,6
"6199","white",6.5,0.16,0.33,1,0.027,23,75,0.9908,3.3,0.39,11.4,7
"5185","white",7,0.24,0.35,1,0.032,42,104,0.98988,3.16,0.37,11.7,7
"3468","white",7.4,0.21,0.27,7.3,0.031,41,144,0.9932,3.15,0.38,11.8,7
"2237","white",7.4,0.28,0.25,11.9,0.053,25,148,0.9976,3.1,0.62,9.2,5
"3311","white",7,0.2,0.3,6.1,0.037,31,120,0.9939,3.24,0.51,10.8,5
"625","red",6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5
"1119","red",7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,6
"2772","white",7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6
"2216","white",7.8,0.32,0.33,2.4,0.037,18,101,0.9912,3.21,0.65,11.7,7
"4093","white",7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4
"2960","white",6.2,0.12,0.26,5.7,0.044,56,158,0.9951,3.52,0.37,10.5,6
"6257","white",6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,11,7
"6435","white",5.6,0.295,0.26,1.1,0.035,40,102,0.99154,3.47,0.56,10.6,6
"2824","white",7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,7
"5756","white",6.3,0.34,0.52,6.3,0.047,63,186,0.99481,3.18,0.44,9.6,5
